water_name,county,raw_species,standardized_species,quantity,length,stock_date,source_year,lake_id,match_type,match_details
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,750,11.02,2017-08-14,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,TIGER TROUT,Tigers,859,10.63,2017-08-17,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,RAINBOW,Rainbows,1299,11.44,2017-08-28,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,GRAYLING ARCTIC,Grayling,592,2.79,2017-09-25,2017,310,exact,Matched on letter-number: A-61
TRIAL L A-61,SUMMIT,GRAYLING ARCTIC,Grayling,1998,2.79,2017-09-26,2017,310,exact,Matched on letter-number: A-61
TRIDENT L A-41,SUMMIT,BROOK TROUT,Brookies,398,2.29,2017-07-12,2017,311,exact,Matched on letter-number: A-41
WASHINGTON L A-23,SUMMIT,RAINBOW,Rainbows,1451,10.03,2017-06-27,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,TIGER TROUT,Tigers,442,8.98,2017-06-27,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,RAINBOW,Rainbows,999,10.96,2017-07-03,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,RAINBOW,Rainbows,750,10.6,2017-07-10,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,BROOK TROUT,Brookies,1991,2.29,2017-07-12,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,TIGER TROUT,Tigers,602,9.92,2017-07-12,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,TIGER TROUT,Tigers,602,9.92,2017-07-17,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,RAINBOW,Rainbows,748,10.98,2017-07-18,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,RAINBOW,Rainbows,250,10.77,2017-07-25,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,RAINBOW,Rainbows,250,10.68,2017-07-31,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,TIGER TROUT,Tigers,599,9.92,2017-07-31,2017,315,exact,Matched on letter-number: A-23
WASHINGTON L A-23,SUMMIT,GRAYLING ARCTIC,Grayling,777,2.79,2017-09-26,2017,315,exact,Matched on letter-number: A-23
WEBER R,SUMMIT,RAINBOW,Rainbows,100,9.73,2017-06-28,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,201,9.73,2017-06-28,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,201,9.73,2017-06-28,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,200,10.98,2017-07-19,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,100,10.98,2017-07-19,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,200,10.98,2017-07-19,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,200,10.77,2017-07-25,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,100,10.77,2017-07-25,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,200,10.77,2017-07-25,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,201,10.68,2017-08-07,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,201,10.68,2017-08-07,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,100,10.68,2017-08-07,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,99,11.44,2017-08-21,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,200,11.44,2017-08-21,2017,,none,No match found
WEBER R,SUMMIT,RAINBOW,Rainbows,200,11.44,2017-08-21,2017,,none,No match found
WHISKEY ISLAND L BR3,SUMMIT,GRAYLING ARCTIC,Grayling,999,2.79,2017-09-26,2017,63,exact,Matched on letter-number: BR-3
WHITNEY RES,SUMMIT,RAINBOW,Rainbows,4233,10.01,2017-06-12,2017,,none,No match found
WHITNEY RES,SUMMIT,TIGER TROUT,Tigers,12017,3.83,2017-06-26,2017,,none,No match found
WHITNEY RES,SUMMIT,RAINBOW,Rainbows,2000,10.6,2017-07-11,2017,,none,No match found
WHITNEY RES,SUMMIT,TIGER TROUT,Tigers,7992,4.3,2017-07-18,2017,,none,No match found
WINDSOR POND,SUMMIT,RAINBOW,Rainbows,74,9.93,2017-05-30,2017,,none,No match found
WINDSOR POND,SUMMIT,RAINBOW,Rainbows,125,10.01,2017-06-19,2017,,none,No match found
WINDSOR POND,SUMMIT,RAINBOW,Rainbows,0,10.01,2017-06-19,2017,,none,No match found
"YELLOWPINE,LOWER W66",SUMMIT,BROOK TROUT,Brookies,210,2.29,2017-07-12,2017,522,exact,Matched on letter-number: W-66
AUDRY L RC-45,DUCHESNE,BROOK TROUT,Brookies,109,2.53,2017-07-09,2017,322,exact,Matched on letter-number: RC-45
BEARD L U-74,DUCHESNE,BROOK TROUT,Brookies,465,2.53,2017-07-09,2017,430,exact,Matched on letter-number: U-74
BECKY L WR-77,DUCHESNE,BROOK TROUT,Brookies,341,2.53,2017-07-09,2017,567,exact,Matched on letter-number: WR-77
